PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Activity_Score,fluc-Phenotype,fluc-Potency,fluc-Efficacy,fluc-Analysis Comment,fluc-Activity_Score,fluc-Curve_Description,fluc-Fit_LogAC50,fluc-Fit_HillSlope,fluc-Fit_R2,fluc-Fit_InfiniteActivity,fluc-Fit_ZeroActivity,fluc-Fit_CurveClass,fluc-Excluded_Points,fluc-Max_Response,fluc-Activity at 0.0009730000 uM,fluc-Activity at 0.00292 uM,fluc-Activity at 0.00876 uM,fluc-Activity at 0.026 uM,fluc-Activity at 0.079 uM,fluc-Activity at 0.237 uM,fluc-Activity at 0.710 uM,fluc-Activity at 2.130 uM,fluc-Activity at 6.390 uM,fluc-Activity at 19.20 uM,fluc-Activity at 57.50 uM,nluc-Phenotype,nluc-Potency,nluc-Efficacy,nluc-Analysis Comment,nluc-Activity_Score,nluc-Curve_Description,nluc-Fit_LogAC50,nluc-Fit_HillSlope,nluc-Fit_R2,nluc-Fit_InfiniteActivity,nluc-Fit_ZeroActivity,nluc-Fit_CurveClass,nluc-Excluded_Points,nluc-Max_Response,nluc-Activity at 0.0009730000 uM,nluc-Activity at 0.00292 uM,nluc-Activity at 0.00876 uM,nluc-Activity at 0.026 uM,nluc-Activity at 0.079 uM,nluc-Activity at 0.237 uM,nluc-Activity at 0.710 uM,nluc-Activity at 2.130 uM,nluc-Activity at 6.390 uM,nluc-Activity at 19.20 uM,nluc-Activity at 57.50 uM
301,24391022,16013692,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00116443-01/229331212,,Inactive,0.36405,-8.0724,10,Inhibitor,0.485,54.3193,,23,Complete curve; partial efficacy,-6.3143,0.5,0.8426,-35.5054,18.8139,-1.2,0 0 0 0 0 0 0 0 0 0 1,-6.6345,15.0185,7.7967,27.0225,2.3353,7.6956,-9.6174,-15.1195,-9.4131,-24.2666,-30.2332,-6.6345,Inhibitor,0.2431,49.1996,,24,Complete curve; partial efficacy,-6.6143,0.9,0.8095,-36.6757,12.5239,-1.2,0 0 0 0 0 0 0 0 0 0 1,-9.5103,7.7131,1.5743,27.5525,5.9417,0,-21.3298,-13.8785,-26.8118,-47.6862,-28.9497,-9.5103
302,24391078,16013727,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00116499-01/229331503,,Inactive,25.7902,-51.7951,10,Inhibitor,24.3072,57.7965,,20,Partial curve; partial efficacy,-4.6143,1.8851,0.7677,-52.7965,5,-2.2,0 0 0 0 0 0 0 0 0 0 0,-46.9257,7.1086,0,23.3606,0,2.2077,11.234,-9.0938,7.773,-6.9536,-12.1114,-46.9257,Inhibitor,27.2732,96.6959,,10,Single point of activity,-4.5643,0.6,0.7191,-78.2468,18.449,-3,0 0 0 0 0 0 0 0 0 0 0,-56.6645,16.3533,45.8302,15.1642,0,13.8524,14.1596,0.0611,0,-9.3694,-6.3993,-56.6645
303,24391558,16014056,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00116979-01/229331183,,Inactive,10.2673,-47.0065,10,Inhibitor,9.6769,47.5762,,10,Complete curve; partial efficacy; poor fit,-5.0143,4.9549,0.7434,-43.3996,4.1766,-1.4,0 0 0 0 0 0 0 0 0 0 0,-40.5084,18.9689,10.3891,0.248,21.552,-15.9176,0,6.2886,-9.6012,1.3748,-44.9163,-40.5084,Inhibitor,10.8576,63.0754,,21,Complete curve; partial efficacy,-4.9643,4.9549,0.7954,-62.5914,0.484,-1.2,0 0 0 0 0 0 0 0 0 0 0,-53.5046,15.4874,0,5.4604,12.2177,-11.5456,-24.6592,-8.109,5.7936,6.6113,-69.6729,-53.5046
304,24391905,16014335,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00117326-01/229331103,,Inactive,32.468,-91.6255,10,Inhibitor,30.601,79.3392,,40,Partial curve; partial efficacy,-4.5143,4.095,0.8032,-85.5215,-6.1823,-2.2,0 0 0 0 0 0 0 0 0 0 0,-78.8042,5.3879,-8.601,-15.5108,-30.7955,-5.4579,-10.496,3.3822,8.0187,-2.2707,-16.5941,-78.8042,Inhibitor,34.3349,115.952,,40,Partial curve; high efficacy,-4.4643,4.095,0.8225,-117.189,-1.2374,-2.1,0 0 0 0 0 0 0 0 0 0 0,-104.447,19.2956,-12.6662,0.4423,-6.7939,14.0305,-20.6668,-24.8191,15.9607,1.6051,-10.4726,-104.447
305,24392054,16014467,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00117475-01/229331417,,Inactive,28.9371,-72.5663,10,Inhibitor,30.601,47.0123,,10,Partial curve; partial efficacy; poor fit,-4.5143,1.8265,0.7797,-51.9929,-4.9806,-2.4,1 0 0 0 0 0 0 0 0 0 0,-48.1416,17.3014,-2.6313,-15.5999,1.664,-6.2674,-8.7628,-14.5164,-2.0055,-10.8505,-12.8107,-48.1416,Inhibitor,27.2732,104.255,,40,Partial curve; high efficacy,-4.5643,1.6266,0.8856,-110.57,-6.3143,-2.1,0 0 0 0 0 0 0 0 0 0 0,-96.9911,8.2472,-13.2275,-13.8993,-2.5779,6.5868,-12.6157,-12.0883,-5.8256,-28.3075,-33.4579,-96.9911
306,24392156,16014563,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00117577-01/229331552,,Inactive,38.7799,-77.0895,10,Inhibitor,43.225,89.2091,,10,Single point of activity,-4.3643,4.9549,0.8441,-90.5341,-1.325,-3,0 0 0 0 0 0 0 0 0 0 0,-73.091,15.1587,0,-3.864,-15.2317,8.8382,-1.6148,-16.5293,-4.3508,1.2184,3.3164,-73.091,Inhibitor,34.3349,98.6642,,10,Partial curve; high efficacy; poor fit,-4.4643,0.5,0.6187,-107.036,-8.3719,-2.3,0 0 0 0 0 0 0 0 0 0 0,-81.088,-12.4226,-19.6696,-17.7351,-22.9637,2.6308,-41.059,-16.9241,-28.5895,-30.5337,-36.9214,-81.088
307,24392528,15943347,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00117949-01/229331059,,Inactive,24.3072,-85.1711,10,Inhibitor,24.3072,73.3344,,20,Partial curve; partial efficacy,-4.6143,4.095,0.8039,-66.9061,6.4283,-2.2,0 0 0 0 0 0 0 0 0 0 0,-63.1356,0.0089,2.8432,15.5893,0.6585,28.2978,0,10.3638,-12.5604,9.8811,-12.9624,-63.1356,Inhibitor,24.3072,126.459,,41,Partial curve; high efficacy,-4.6143,4.095,0.8677,-114.784,11.675,-2.1,0 0 0 0 0 0 0 0 0 0 0,-107.207,12.0492,38.7306,-19.0695,21.1578,6.9631,13.5374,17.7117,7.7762,0.8559,-20.6141,-107.207
308,24392750,16015044,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118171-01/229331198,,Inactive,16.6895,-47.9774,10,Inhibitor,27.2732,57.6206,,10,Single point of activity,-4.5643,1.6266,0.762,-55.3224,2.2982,-3,0 0 0 0 0 0 0 0 0 0 0,-48.7701,4.2575,15.2652,-3.2974,0,0,0,12.6337,-6.232,-15.2031,-8.2361,-48.7701,Inhibitor,6.1057,54.8393,,10,Partial curve; partial efficacy; poor fit,-5.2143,1.1105,0.9553,-50.7667,4.0726,-2.4,0 0 0 0 0 0 0 0 0 1 0,-47.1846,11.3636,2.5906,8.0123,0,0,0,-2.039,-5.449,-24.1746,17.1379,-47.1846
309,24393008,16015286,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118429-01/229331468,,Inactive,18.2581,-44.3581,10,Inhibitor,17.2082,34.0009,,10,Partial curve; partial efficacy; poor fit,-4.7643,4.9549,0.4936,-32.0827,1.9182,-2.4,0 0 0 0 0 0 0 0 0 0 0,-30.9704,1.0694,8.7703,0,5.2377,20.6652,0,-27.3978,0,11.2332,-21.0181,-30.9704,Inhibitor,19.3079,57.8593,,21,Partial curve; partial efficacy,-4.7143,3.9295,0.8167,-58.0335,-0.1742,-2.2,0 0 0 0 0 0 0 0 0 0 0,-57.7458,-9.6513,13.9967,0,4.4152,0.9732,-3.9003,-19.0504,7.5846,4.0023,-28.1526,-57.7458
310,24393045,16015319,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118466-01/229331149,,Inactive,0.06475,-54.7724,10,Inhibitor,0.0077,61.9516,,10,Complete curve; partial efficacy; poor fit,-8.1143,0.7,0.8084,-37.5403,24.4113,-1.4,0 0 0 0 0 0 0 1 0 0 0,-38.0218,18.935,0,-16.5625,0,-41.5211,-29.9295,-31.4613,7.0747,-32.1856,-43.1216,-38.0218,Inhibitor,0.1218,58.27,,10,Complete curve; partial efficacy; poor fit,-6.9143,1.4641,0.9545,-60.9535,-2.6834,-1.4,0 0 0 0 0 0 0 1 0 0 0,-71.523,0.1582,-7.7721,0.3114,-11.0131,-18.8427,-51.3788,-52.2946,-3.3571,-54.0833,-57.0027,-71.523
311,24393054,16015328,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118475-01/229331013,,Inactive,4.4376,-41.834,10,Inhibitor,3.4335,30.8886,,10,Complete curve; partial efficacy; poor fit,-5.4643,4.9549,0.9527,-29.3886,1.5,-1.4,0 0 0 0 0 0 0 0 0 0 0,-27.6684,0,1.0827,4.1121,0.915,0,0.3678,0,4.6195,-33.7143,-25.6077,-27.6684,Inhibitor,5.4417,54.6903,,22,Complete curve; partial efficacy,-5.2643,3.99,0.8484,-54.6949,-0.0046,-1.2,0 0 0 0 0 0 0 0 0 0 0,-55.9995,5.0601,-23.602,6.7131,0,-8.8814,0,14.0461,4.0521,-34.0466,-54.1132,-55.9995
312,24393129,16015401,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118550-01/229331265,,Inactive,4.08745,-62.6505,10,Inhibitor,4.3225,54.1742,,10,Complete curve; partial efficacy; poor fit,-5.3643,1.1,0.8313,-59.6803,-5.5061,-1.4,0 0 1 0 0 0 0 0 0 0 0,-53.1867,-14.1416,0,-39.6947,-5.594,-27.3238,-4.2342,-7.7316,-23.3083,-36.9456,-55.0608,-53.1867,Inhibitor,3.8524,73.7964,,10,Complete curve; high efficacy; poor fit,-5.4143,1.6266,0.9094,-82.3194,-8.523,-1.3,1 0 1 0 0 0 0 0 0 0 0,-72.1143,-26.8008,0,-48.7941,-14.6807,-25.9619,-10.9834,0.0132,-27.0675,-64.1043,-85.2168,-72.1143
313,24393183,16015453,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118604-01/229331213,,Inactive,27.4541,-74.4058,10,Inhibitor,30.601,65.0976,,10,Single point of activity,-4.5143,4.095,0.7552,-55.5976,9.5,-3,0 0 0 0 0 0 1 0 0 0 0,-51.0785,13.8439,10.6208,0,5.5293,0,0,-25.1156,36.9548,9.7969,1.7419,-51.0785,Inhibitor,24.3072,107.01,,41,Partial curve; high efficacy,-4.6143,1.7885,0.8382,-111.416,-4.4053,-2.1,0 0 0 0 0 0 0 0 0 0 0,-97.7331,12.4003,-5.4943,3.6108,-18.891,0,0,-28.8777,10.7011,-25.1292,-42.4362,-97.7331
314,24393205,16015475,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118626-01/229330990,,Inactive,29.2809,-40.6056,10,Activator,15.3368,43.6528,,0,Single point of activity,-4.8143,4.9549,0.442,44.3924,0.7397,3,0 0 0 0 0 1 0 0 0 0 1,-6.0248,11.7675,11.8212,4.1128,8.9019,0.4727,43.8,-29.5529,0,0,34.232,-6.0248,Inhibitor,43.225,82.7675,,10,Single point of activity,-4.3643,4.9549,0.8006,-91.2462,-8.4787,-3,0 0 0 0 0 0 1 0 0 0 0,-75.1865,-1.0486,-10.9883,-11.3119,-15.1179,-8.863,9.6002,-58.067,-12.5434,-29.3061,-0.5697,-75.1865
315,24393415,16015680,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118836-01/229331464,,Inactive,32.468,-69.2361,10,Inhibitor,30.601,57.1334,,10,Single point of activity,-4.5143,4.095,0.6143,-58.0867,-0.9534,-3,0 0 0 0 0 0 0 0 0 0 0,-54.2778,3.5991,20.2559,-25.5326,-12.3597,-10.045,-6.4694,9.9645,0,12.0151,-8.5788,-54.2778,Inhibitor,34.3349,90.8141,,10,Single point of activity,-4.4643,4.5045,0.7478,-92.4276,-1.6135,-3,0 0 0 0 0 0 0 0 0 0 0,-84.1943,0,14.3791,-3.8887,-27.0735,0,-24.1762,2.3308,1.4271,23.375,-8.3546,-84.1943
316,24393419,16015684,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00118840-01/229331307,,Inactive,20.4858,-117.09,10,Inhibitor,19.3079,92.0923,,10,Partial curve; high efficacy; poor fit,-4.7143,3.132,0.8635,-87.0059,5.0864,-2.3,0 1 0 0 0 0 0 0 0 0 0,-84.75,0,-38.1301,-8.6189,23.4228,-2.8278,-1.8619,-4.231,28.2819,3.9394,-39.641,-84.75,Inhibitor,21.6638,165.036,,41,Partial curve; high efficacy,-4.6643,1.5579,0.9721,-170.35,-5.3144,-2.1,0 1 0 0 0 0 0 0 0 0 0,-149.43,-6.8061,-57.8956,0,2.4103,-6.6489,-10.1129,-14.641,-1.7054,-38.3444,-69.6296,-149.43
317,24393987,16016209,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00119408-01/229331511,,Inactive,13.0972,-53.7777,10,Inhibitor,10.8576,45.161,,10,Complete curve; partial efficacy; poor fit,-4.9643,4.9549,0.8359,-43.4008,1.7603,-1.4,0 0 1 0 0 0 0 0 0 0 0,-40.7279,7.6893,18.73,-33.0767,-9.3042,-9.2925,0,0,2.2037,-0.7187,-43.6673,-40.7279,Inhibitor,15.3368,60.6024,,10,Complete curve; partial efficacy; poor fit,-4.8143,4.9549,0.7917,-67.1833,-6.5809,-1.4,0 0 1 0 0 0 0 0 0 0 0,-66.8275,0.7348,0,-39.4358,-36.181,0,-7.2749,-2.27,-12.5742,3.9817,-52.3169,-66.8275
318,24394531,16016681,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00119952-01/229331603,,Inactive,35.2491,-44.4778,10,Inhibitor,27.2732,60.3477,,10,Single point of activity,-4.5643,4.095,0.8991,-59.4862,0.8615,-3,0 0 0 0 0 0 0 0 0 0 0,-54.8731,-1.7377,-2.1298,11.5122,-6.0343,5.9738,0,0.6905,-8.0309,5.8428,-9.8198,-54.8731,Inhibitor,43.225,43.8991,,10,Single point of activity,-4.3643,4.9549,0.6494,-42.6095,1.2896,-3,0 0 0 1 0 0 0 0 0 0 0,-34.0826,4.4872,-16.8943,9.1704,-30.926,13.0215,-5.6776,3.0555,0,0,2.2071,-34.0826
319,24394584,16016733,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00120005-01/229331481,,Inactive,43.225,-60.5089,10,Inhibitor,43.225,69.6735,,10,Single point of activity,-4.3643,4.095,0.9209,-69.4846,0.1889,-3,0 0 0 0 0 0 0 0 0 0 0,-53.0186,3.5479,-3.2077,10.0928,2.789,0,0,-6.4402,0,-6.6533,-1.9873,-53.0186,Inhibitor,43.225,92.7729,,10,Single point of activity,-4.3643,4.9549,0.7573,-86.1702,6.6027,-3,0 0 0 0 0 0 0 0 0 0 0,-67.9993,0,-6.9608,0,25.9895,0,33.5802,0,0,-0.4126,12.2857,-67.9993
320,24394759,135546897,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00120180-01/229331291,,Inactive,24.4685,-40.748,10,Inhibitor,21.6638,37.2864,,10,Partial curve; partial efficacy; poor fit,-4.6643,3.5117,0.4981,-39.3272,-2.0408,-2.4,0 0 0 0 0 0 0 0 0 0 0,-38.2233,-10.0415,0,17.1845,4.6147,-0.9421,-19.2957,-21.3957,7.3607,3.3957,-16.3565,-38.2233,Inhibitor,27.2732,48.4271,,10,Single point of activity,-4.5643,4.095,0.7143,-46.3949,2.0322,-3,1 0 0 0 0 1 0 0 0 0 0,-43.2726,-29.1599,7.2309,0,6.8211,1.0482,-41.9939,-19.2236,16.4054,0.5371,-7.2229,-43.2726
321,24395570,16017661,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00120991-01/229331295,,Inactive,13.9662,-43.4455,10,Inhibitor,19.3079,51.0135,,20,Partial curve; partial efficacy,-4.7143,3.0654,0.9397,-46.5135,4.5,-2.2,0 0 0 0 0 0 0 0 0 0 0,-45.1538,5.0361,0,0.9801,-2.2754,10.2209,11.5574,5.9676,5.988,3.2723,-20.6039,-45.1538,Inhibitor,8.6245,51.7756,,10,Complete curve; partial efficacy; poor fit,-5.0643,4.5045,0.8148,-43.2756,8.5,-1.4,0 0 0 1 0 0 0 0 0 0 0,-41.7372,-5.7854,0,3.3566,-26.4346,21.7609,1.0109,27.6152,11.9928,-3.3413,-43.1159,-41.7372
322,24395778,16017840,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121199-01/229331000,,Inactive,30.8041,-50.2897,10,Inhibitor,27.2732,52.3638,,10,Single point of activity,-4.5643,4.5045,0.808,-43.8638,8.5,-3,0 0 0 0 1 0 0 0 0 0 0,-41.7502,17.0049,8.9998,0,3.3707,53.1715,0,0.8414,20.886,17.413,-0.0927,-41.7502,Inhibitor,34.3349,66.1118,,10,Single point of activity,-4.4643,4.095,0.8443,-66.1547,-0.0429,-3,1 0 0 0 0 0 0 1 0 0 0,-58.8293,28.5007,0.1729,0,-7.5722,0,11.189,-15.4869,34.9855,11.6,-5.4732,-58.8293
323,24395808,16017867,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121229-01/229331344,,Inactive,10.3893,-43.4158,10,Inhibitor,5.4417,30.964,,10,Complete curve; partial efficacy; poor fit,-5.2643,4.4495,0.8705,-26.964,4,-1.4,0 0 0 0 0 0 0 0 0 0 0,-29.5534,9.7275,7.1401,0,6.4945,0,7.2141,-7.2591,9.3241,-15.9766,-25.3164,-29.5534,Inhibitor,15.3368,62.5552,,21,Partial curve; partial efficacy,-4.8143,1.5579,0.8516,-63.6704,-1.1152,-2.2,0 0 0 0 0 0 0 0 0 0 0,-57.2781,-2.2512,-15.0376,8.8738,-9.2186,0.8337,6.1075,-5.237,8.2287,-19.7203,-35.7058,-57.2781
324,24395909,16017962,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121330-01/229331364,,Inactive,17.3224,-66.2135,10,Inhibitor,15.3368,79.8991,,41,Partial curve; partial efficacy,-4.8143,1.9887,0.8613,-70.7391,9.16,-2.2,0 0 0 0 0 0 0 0 0 0 0,-66.5826,6.8503,0.4157,-0.8509,13.5456,8.8857,8.828,5.0025,35.1953,-9.2391,-36.8223,-66.5826,Inhibitor,19.3079,76.7721,,10,Partial curve; partial efficacy; poor fit,-4.7143,3.132,0.9354,-67.7721,9,-2.4,0 0 0 0 0 0 0 1 0 0 0,-65.8445,8.6669,0,5.8831,16.5071,0,9.3702,21.5681,67.5474,6.6276,-27.582,-65.8445
325,24395933,16017986,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121354-01/229331361,,Inactive,15.3368,-47.5667,10,Inhibitor,15.3368,40.2963,,10,Complete curve; partial efficacy; poor fit,-4.8143,4.9549,0.6518,-39.7383,0.558,-1.4,0 0 0 0 0 0 0 0 0 0 0,-38.5319,0,-7.788,25.8879,-15.5483,4.8234,0,-4.4938,-5.3996,7.9058,-31.5222,-38.5319,Inhibitor,15.3368,51.1979,,10,Complete curve; partial efficacy; poor fit,-4.8143,4.9549,0.5741,-58.0138,-6.8159,-1.4,0 0 0 0 0 0 0 0 0 0 0,-56.6015,0,-33.8214,4.5874,-30.775,-20.9028,6.5677,11.5574,-7.941,9.1287,-47.1878,-56.6015
326,24396021,16018074,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121442-01/229331150,,Inactive,22.9855,-38.267,10,Inhibitor,21.6638,42.0657,,10,Partial curve; partial efficacy; poor fit,-4.6643,3.0654,0.5961,-44.2152,-2.1494,-2.4,0 0 0 0 0 0 0 0 0 0 0,-42.3871,0,6.308,-7.7554,3.2681,19.1071,-11.3012,-20.9278,-8.6395,-0.3997,-18.7002,-42.3871,Inhibitor,24.3072,34.9528,,10,Partial curve; partial efficacy; poor fit,-4.6143,3.0654,0.7021,-36.2145,-1.2617,-2.4,1 0 0 0 0 0 0 0 0 0 0,-34.1468,26.134,-11.525,-1.7959,3.7547,13.47,-10.3074,0.5806,-3.0527,-0.386,-13.561,-34.1468
327,24396226,16018279,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121647-01/229331394,,Inactive,20.4858,-121.176,10,Inhibitor,19.3079,111.985,,41,Partial curve; high efficacy,-4.7143,1.6924,0.9513,-105.021,6.964,-2.1,0 0 0 0 0 0 0 0 0 0 0,-92.3533,5.0878,14.3751,5.8586,3.5163,2.5584,-1.9667,23.7131,2.5699,-12.9739,-44.0196,-92.3533,Inhibitor,21.6638,163.686,,41,Partial curve; high efficacy,-4.6643,1.9282,0.9555,-161.998,1.6883,-2.1,0 0 0 0 0 0 0 0 0 0 0,-149.998,0,18.8349,-1.1282,7.0783,-15.8385,4.7265,-0.5908,6.8005,-25.7043,-62.0972,-149.998
328,24396236,16018289,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121657-01/229331145,,Inactive,22.9855,-56.4809,10,Inhibitor,21.6638,91.0614,,10,Partial curve; partial efficacy; poor fit,-4.6643,0.4,0.6964,-80.0614,11,-2.4,0 0 0 0 0 0 0 0 0 0 0,-59.4085,0,28.304,0,9.5019,0,-1.8254,-24.3009,-17.1491,-5.7563,-22.6749,-59.4085,Inhibitor,24.3072,63.7761,,10,Partial curve; partial efficacy; poor fit,-4.6143,1.9673,0.6923,-60.27,3.5061,-2.4,0 1 0 0 0 0 0 0 0 0 0,-53.5533,19.9474,57.1935,0.744,0,0,26.3254,-16.5168,-6.4039,-3.0928,-17.7293,-53.5533
329,24396238,16018291,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121659-01/229331087,,Inactive,22.9855,-91.7549,10,Inhibitor,21.6638,79.7462,,41,Partial curve; partial efficacy,-4.6643,1.9673,0.7778,-87.4934,-7.7472,-2.2,0 0 0 0 0 0 0 0 0 0 0,-77.4945,9.977,0,-21.856,-8.1931,-24.7118,-23.0224,9.1744,-2.7758,-16.0624,-42.3163,-77.4945,Inhibitor,24.3072,111.553,,41,Partial curve; high efficacy,-4.6143,2.2526,0.9342,-114.496,-2.9435,-2.1,0 0 0 0 0 0 0 0 0 0 0,-106.015,0,-8.8785,-2.1652,-2.7369,11.725,-9.0795,-3.9186,4.3922,-24.004,-36.4648,-106.015
330,24396330,135546939,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00121751-01/229331007,,Inactive,43.5119,-54.6957,10,Inhibitor,38.5244,62.2464,,10,Single point of activity,-4.4143,4.5045,0.6204,-67.6761,-5.4297,-3,1 0 0 0 0 0 0 0 0 0 0,-58.9554,22.5667,13.0357,-23.9134,15.3415,-21.05,-17.72,-0.0782,-0.1934,-7.8549,-8.2398,-58.9554,Inhibitor,48.4993,79.4145,,10,Single point of activity,-4.3143,4.9549,0.5422,-69.4145,10,-3,0 0 0 1 0 0 0 0 0 0 0,-50.436,8.8418,37.9355,-9.8972,45.0738,2.5669,-6.1376,-2.04,0,19.5158,38.4767,-50.436
331,24396648,16018656,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00122069-01/229331222,,Inactive,21.305,-76.1729,10,Inhibitor,15.3368,85.5703,,41,Partial curve; partial efficacy,-4.8143,1.2475,0.8455,-84.6652,0.9051,-2.2,0 0 0 0 0 0 0 0 0 0 0,-72.3533,13.596,7.497,-16.9685,10.5376,-8.4329,-3.811,-3.6497,8.9033,-32.0375,-42.7531,-72.3533,Inhibitor,27.2732,81.7141,,40,Partial curve; partial efficacy,-4.5643,1.8851,0.8763,-86.3919,-4.6779,-2.2,0 0 0 0 0 0 0 0 0 0 0,-79.9925,0,0,1.7861,0,0,-14.0392,-20.2794,0,-17.1872,-23.9757,-79.9925
332,24396853,16018861,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00122274-01/229331296,,Inactive,13.8848,-26.1087,10,Inhibitor,21.6638,46.9935,,10,Partial curve; partial efficacy; poor fit,-4.6643,1.4163,0.6201,-48.2832,-1.2897,-2.4,0 0 0 0 0 0 0 0 0 0 0,-40.236,0,17.6612,-8.3616,-22.5044,0,7.3762,0,-4.6267,-10.9566,-20.8028,-40.236,Inhibitor,6.1057,34.7968,,10,Partial curve; partial efficacy; poor fit,-5.2143,1.3723,0.4771,-36.7886,-1.9918,-2.4,0 0 0 0 0 0 0 0 0 0 1,-11.9813,0,-15.8877,-11.278,-6.2805,23.6324,1.9941,-6.601,-10.2725,-18.6813,-31.2856,-11.9813
333,24396888,16018896,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/cmt1a-syt-fu-manuscript-cr-C9F2sN/NCGC00122309-01/229331042,,Inactive,20.4858,-80.4982,10,Inhibitor,21.6638,113.479,,41,Partial curve; high efficacy,-4.6643,1.3723,0.9359,-110.7,2.7784,-2.1,0 1 0 0 0 0 0 0 0 0 0,-92.2503,-8.4443,-37.4216,0,-3.7887,6.2812,18.8848,4.4127,-0.0829,-24.047,-43.4797,-92.2503,Inhibitor,19.3079,90.0977,,10,Partial curve; partial efficacy; poor fit,-4.7143,1,0.8348,-89.7449,0.3528,-2.4,0 1 0 0 0 0 0 0 0 0 0,-68.7462,-12.0848,-75.0044,11.6464,-16.8448,12.7263,0,0,-1.1655,-33.3428,-38.1062,-68.7462
